0.4032209,0
1.055842,0
1.867871,2
2.651189,2
3.453699,1
4.228715,1
5.060637,3
5.842332,3
6.630389,0
7.060053,1
7.461301,2
7.864645,3
8.301636,0
8.673345,1
9.041086,2
9.444004,3
9.884016,0
9.884016,1
10.68748,0
10.68748,1
11.50118,2
11.50118,3
12.2861,2
12.2861,3
13.05046,0
13.85054,3
14.68355,2
15.46529,1
16.27738,0
17.0354,1
17.85865,2
18.68143,3
19.49797,0
19.84854,0
20.25565,2
20.63803,2
21.05831,1
21.42822,1
21.83689,3
22.22102,3
22.6534,0
23.019,0
23.41628,2
23.81446,2
24.22368,1
24.58587,1
25.0377,3
25.43044,3
25.85708,0
26.67289,2
27.45059,1
28.25228,3
29.0645,0
29.86019,2
30.62878,3
31.44107,1
32.26137,0
33.07842,1
33.88072,2
34.67694,3
35.47984,0
35.87368,3
36.30159,2
36.67679,1
37.08438,0
37.45407,1
37.86411,2
38.23701,3
38.67693,1
38.70364,0
39.4722,0
39.4722,1
40.31686,2
40.31686,3
41.07503,2
41.07503,3
41.86843,0
41.86843,1
42.63827,0
42.63827,1
43.48433,2
43.48433,3
44.24411,2
44.24411,3
45.04147,0
45.46661,3
45.87313,2
46.25218,1
46.68014,0
46.87441,3
47.06898,2
47.27452,1
47.49131,0
47.86802,2
48.25117,3
49.06234,0
49.84669,1
50.64513,2
51.45415,0
52.25548,0
53.07348,2
53.88255,2
54.64047,1
55.46804,1
56.27266,3
57.06182,3
57.87461,0
58.68062,2
59.47945,1
60.31044,3
61.10577,0
61.10577,1
61.92976,2
61.92976,3
62.73191,0
62.73191,3
63.53629,2
63.53629,3
64.31112,0
64.31112,1
65.10364,2
65.10364,3
65.88066,0
65.88066,1
66.68325,2
66.68325,3
67.46218,0
67.86591,3
68.26118,2
68.67655,1
69.07883,0
69.4659,2
69.87057,1
70.08149,0
70.31126,3
